instrument_key,tradingsymbol,name,exchange
BSE_EQ|INE092E01011,KAKTEX,KAKATIYA TEXTILES LTD.,BSE_EQ
BSE_EQ|INE376L01013,RAJKSYN,RAJKAMAL SYNTHETICS LTD.,BSE_EQ
BSE_EQ|INE310A01015,NILKAMAL,NILKAMAL LTD.,BSE_EQ
NSE_EQ|INE869I01013,GTPL,GTPL HATHWAY LIMITED,NSE_EQ
BSE_EQ|INE966H01019,ZEEMEDIA,ZEE MEDIA CORPORATION LIMITED,BSE_EQ
NCD_FO|14277,GBPINR25DEC118.25PE,GBPINR,NCD_FO
BSE_EQ|INE124B01018,COSMOFE,COSMO FERRITES LTD.,BSE_EQ
BSE_EQ|INE533C01018,KJMCFIN,KJMC FINANCIAL SERVICES LTD.,BSE_EQ
NCD_FO|14276,GBPINR25DEC118.25CE,GBPINR,NCD_FO
BSE_EQ|INE347D01011,LERTHAI,LERTHAI FINANCE LIMITED,BSE_EQ
NSE_EQ|INE399C01030,SUPRAJIT,SUPRAJIT ENGINEERING LTD,NSE_EQ
NSE_EQ|INE0MJQ01020,PRITIKA,PRITIKA ENG COMPO LTD,NSE_EQ
BSE_EQ|INE493N01012,HARIAAPL,HARIA APPARELS LTD,BSE_EQ
BSE_EQ|INE0KGZ01021,SIGNPOST,Signpost India Limited,BSE_EQ
BSE_EQ|INE055E01034,REALECO,REAL ECO-ENERGY LIMITED,BSE_EQ
NSE_EQ|INE0LLY01014,EIEL,ENVIRO INFRA ENGINEERS L,NSE_EQ
NSE_EQ|INE0J1E01027,KCK,KCK INDUSTRIES LTD,NSE_EQ
BSE_EQ|INE868C01018,AHMDSTE,AHMEDABAD STEELCRAFT LTD.,BSE_EQ
NSE_EQ|INE176A01028,BATAINDIA,BATA INDIA LTD,NSE_EQ
BSE_EQ|INE998D01011,JAYBHCR,JAYABHARAT CREDIT LTD.,BSE_EQ
NSE_EQ|INE585B01010,MARUTI,MARUTI SUZUKI INDIA LTD.,NSE_EQ
BSE_EQ|INE0AE001013,VPRPL,VISHNU PRAKASH R PUNGLIA LIMIT,BSE_EQ
BSE_EQ|INE474Q01031,MEDANTA,Global Health Limited,BSE_EQ
BSE_EQ|INE0QXT01018,SAI,Sai Swami Metals and Alloys Li,BSE_EQ
NCD_FO|14212,GBPINR25SEP100.25CE,GBPINR,NCD_FO
NCD_FO|14213,GBPINR25SEP100.25PE,GBPINR,NCD_FO
NSE_FO|50975,BAJAJ-AUTO25JUL6800CE,BAJAJ AUTO LIMITED,NSE_FO
NSE_EQ|INE319B01014,BYKE,THE BYKE HOSPITALITY LTD,NSE_EQ
NSE_FO|50977,BAJAJ-AUTO25JUL6800PE,BAJAJ AUTO LIMITED,NSE_FO
BSE_EQ|INE918C01029,GILADAFINS,Gilada Finance & Investments L,BSE_EQ
BSE_EQ|INE416A01044,SABTNL,SRI ADHIKARI BROTHERS TELEVISI,BSE_EQ
BSE_EQ|IN9397D01014,AIRTELPP,Bharti Airtel  Ltd.,BSE_EQ
NCD_FO|14208,GBPINR25SEP99.75CE,GBPINR,NCD_FO
NCD_FO|14209,GBPINR25SEP99.75PE,GBPINR,NCD_FO
NSE_EQ|INE139A01034,NATIONALUM,NATIONAL ALUMINIUM CO LTD,NSE_EQ
BSE_INDEX|SMLCAP,SMLCAP,BSE SMALLCAP,BSE_INDEX
NSE_FO|50990,BAJAJ-AUTO25JUL7300CE,BAJAJ AUTO LIMITED,NSE_FO
NSE_FO|50991,BAJAJ-AUTO25JUL7300PE,BAJAJ AUTO LIMITED,NSE_FO
NSE_FO|50992,BAJAJ-AUTO25JUL7400CE,BAJAJ AUTO LIMITED,NSE_FO
NSE_FO|50993,BAJAJ-AUTO25JUL7400PE,BAJAJ AUTO LIMITED,NSE_FO
NSE_FO|50994,BAJAJ-AUTO25JUL7500CE,BAJAJ AUTO LIMITED,NSE_FO
BSE_EQ|INE838Z01012,PALMJEWELS,Palm Jewels Limited,BSE_EQ
NSE_FO|50995,BAJAJ-AUTO25JUL7500PE,BAJAJ AUTO LIMITED,NSE_FO
NSE_FO|50996,BAJAJ-AUTO25JUL7600CE,BAJAJ AUTO LIMITED,NSE_FO
NSE_FO|50997,BAJAJ-AUTO25JUL7600PE,BAJAJ AUTO LIMITED,NSE_FO
NSE_FO|50998,BAJAJ-AUTO25JUL7700CE,BAJAJ AUTO LIMITED,NSE_FO
NSE_FO|50999,BAJAJ-AUTO25JUL7700PE,BAJAJ AUTO LIMITED,NSE_FO
BSE_EQ|INE456N01019,COMCL,COMFORT COMMOTRADE LTD.,BSE_EQ
BSE_EQ|INE639C01013,RAJPACK,RAJ PACKAGING INDUSTRIES LTD.,BSE_EQ
NSE_FO|50983,BAJAJ-AUTO25JUL7000CE,BAJAJ AUTO LIMITED,NSE_FO
NSE_FO|50985,BAJAJ-AUTO25JUL7000PE,BAJAJ AUTO LIMITED,NSE_FO
NSE_EQ|INE064C01022,TRIDENT,TRIDENT LIMITED,NSE_EQ
NSE_FO|50988,BAJAJ-AUTO25JUL7200CE,BAJAJ AUTO LIMITED,NSE_FO
NSE_FO|50989,BAJAJ-AUTO25JUL7200PE,BAJAJ AUTO LIMITED,NSE_FO
BSE_EQ|INE721U01011,ZHEMHOLD,HEM HOLDINGS & TRADING LTD.,BSE_EQ
NSE_EQ|INE912H01013,MBLINFRA,MBL INFRASTRUCTURE LTD,NSE_EQ
NSE_EQ|INE763I01026,TARIL,TRANS & RECTI. LTD,NSE_EQ
NSE_EQ|INE875G01048,NDL,NANDAN DENIM LIMITED,NSE_EQ
BSE_EQ|INE278G01037,CYBERMEDIA,CYBER MEDIA (INDIA) LTD.,BSE_EQ
BSE_EQ|INE766P01016,MAHLOG,Mahindra Logistics Limited,BSE_EQ
BSE_EQ|INE706F01021,SYLPH,SYLPH TECHNOLOGIES LTD.,BSE_EQ
BSE_EQ|INE427F01016,CHALET,Chalet Hotels Limited,BSE_EQ
BSE_EQ|INE018E01016,SBICARD,SBI CARDS AND PAYMENT SERVICES,BSE_EQ
BSE_EQ|INE384D01022,SANPA,SANGAL PAPERS LTD.,BSE_EQ
BSE_EQ|INE400N01017,SHGANEL,SHREE GANESH ELASTOPLAST LTD.,BSE_EQ
BSE_EQ|INE608A01012,PSB,PUNJAB & SIND BANK,BSE_EQ
NSE_EQ|INE919I01024,RADIOCITY,MUSIC BROADCAST LIMITED,NSE_EQ
MCX_FO|457049,ZINC25AUG257.5PE,ZINC,MCX_FO
MCX_FO|457046,ZINC25AUG232.5PE,ZINC,MCX_FO
MCX_FO|457047,ZINC25AUG252.5PE,ZINC,MCX_FO
MCX_FO|457044,ZINC25AUG237.5PE,ZINC,MCX_FO
MCX_FO|457042,ZINC25AUG242.5PE,ZINC,MCX_FO
MCX_FO|457040,ZINC25AUG247.5PE,ZINC,MCX_FO
NSE_EQ|INE314T01025,GOKULAGRO,GOKUL AGRO RESOURCES LTD,NSE_EQ
MCX_FO|457037,ZINC25AUG267.5CE,ZINC,MCX_FO
MCX_FO|457035,ZINC25AUG262.5CE,ZINC,MCX_FO
MCX_FO|457033,ZINC25AUG257.5CE,ZINC,MCX_FO
MCX_FO|457031,ZINC25AUG252.5CE,ZINC,MCX_FO
MCX_FO|457030,ZINC25AUG232.5CE,ZINC,MCX_FO
NSE_EQ|INE285K01026,TECHNOE,TECHNO ELEC & ENG CO. LTD,NSE_EQ
BSE_EQ|INE769D01016,REGENTRP,Regent Enterprises Limited,BSE_EQ
BCD_FO|2145045,EURINR26MAR104.25PE,EURINR,BCD_FO
NSE_EQ|INE256C01024,TRIVENI,TRIVENI ENGG. & INDS. LTD,NSE_EQ
BSE_EQ|INE977M01024,PHOENIXTN,PHOENIX TOWNSHIP LTD,BSE_EQ
BCD_FO|2145050,EURINR26MAR104.25CE,EURINR,BCD_FO
MCX_FO|457053,ZINC25AUG267.5PE,ZINC,MCX_FO
MCX_FO|457051,ZINC25AUG262.5PE,ZINC,MCX_FO
NSE_EQ|INE0TO501019,HVAX,HVAX TECHNOLOGIES LIMITED,NSE_EQ
BSE_EQ|INE204D01022,VENLONENT,VENLON ENTERPRISES LTD.,BSE_EQ
BSE_EQ|INE299W01022,VIVANTA,Vivanta Industries Limited,BSE_EQ
BSE_EQ|INE911B01018,TCIFINANCE,TCI FINANCE LTD.,BSE_EQ
NSE_EQ|INE992I01013,STARTECK,STARTECK FINANCE LIMITED,NSE_EQ
NSE_FO|35396,ABCAPITAL25JUL277.5PE,ADITYA BIRLA CAPITAL LTD.,NSE_FO
NSE_FO|35394,ABCAPITAL25JUL277.5CE,ADITYA BIRLA CAPITAL LTD.,NSE_FO
BSE_EQ|INE737H01014,FIEMIND,FIEM INDUSTRIES LTD.,BSE_EQ
BSE_EQ|INE666Q01016,EIKO,EIKO LIFESCIENCES LIMITED,BSE_EQ
BSE_EQ|INE074B01023,PARACABLES,PARAMOUNT COMMUNICATIONS LTD.,BSE_EQ
BSE_EQ|INE402H01015,SHBAJRG,SHRI BAJRANG ALLIANCE LIMITED,BSE_EQ
BSE_EQ|INE0G0V01018,ADJIA,Adjia Technologies Limited,BSE_EQ
NSE_EQ|INE268H01044,NAVKARURB,NAVKAR URBANSTRUCTURE LTD,NSE_EQ
NSE_EQ|INE0VZS01015,LAKSHYA,LAKSHYA POWERTECH LIMITED,NSE_EQ
NSE_EQ|INE395U01014,NINSYS,NINTEC SYSTEMS LIMITED,NSE_EQ
BSE_EQ|INE401H01017,KKCL,KEWAL KIRAN CLOTHING LTD.,BSE_EQ
BSE_EQ|INF200KB1712,SBIBPB,SBI Mutual Fund,BSE_EQ
NSE_EQ|INE970X01018,LEMONTREE,LEMON TREE HOTELS LTD,NSE_EQ
BSE_EQ|INE314N01028,INDSOYA,INDSOYA LTD.,BSE_EQ
NSE_EQ|INE0Q9601016,WOMANCART,WOMANCART LIMITED,NSE_EQ
NSE_EQ|INE0V9N01017,PRIZOR,PRIZOR VIZTECH LIMITED,NSE_EQ
NSE_EQ|INE274F01020,WESTLIFE,WESTLIFE FOODWORLD LTD,NSE_EQ
MCX_FO|457028,ZINC25AUG237.5CE,ZINC,MCX_FO
MCX_FO|457026,ZINC25AUG242.5CE,ZINC,MCX_FO
BSE_EQ|INE471D01019,AVONMERC,AVON MERCANTILE LTD.,BSE_EQ
MCX_FO|457024,ZINC25AUG247.5CE,ZINC,MCX_FO
BCD_FO|1027814,679GS203426JUN103.5PE,679GS2034,BCD_FO
BCD_FO|1027815,679GS203426JUN103.75CE,679GS2034,BCD_FO
BCD_FO|1027816,679GS203426JUN103.75PE,679GS2034,BCD_FO
BCD_FO|1027819,679GS203426JUN104.25CE,679GS2034,BCD_FO
BSE_EQ|INE834M01019,RTNINDIA,RATTANINDIA ENTERPRISES LIMITE,BSE_EQ
BCD_FO|1027820,679GS203426JUN104.25PE,679GS2034,BCD_FO
BCD_FO|1027821,679GS203426JUN104.5CE,679GS2034,BCD_FO
BCD_FO|1027822,679GS203426JUN104.5PE,679GS2034,BCD_FO
BCD_FO|1027823,679GS203426JUN104.75CE,679GS2034,BCD_FO
BCD_FO|1027824,679GS203426JUN104.75PE,679GS2034,BCD_FO
BCD_FO|1027803,679GS203426JUN101.5CE,679GS2034,BCD_FO
BCD_FO|1027804,679GS203426JUN101.5PE,679GS2034,BCD_FO
BCD_FO|1027805,679GS203426JUN101.25CE,679GS2034,BCD_FO
BCD_FO|1027806,679GS203426JUN101.25PE,679GS2034,BCD_FO
BSE_EQ|INE06LG01010,VRFILMS,V R FILMS & STUDIOS LIMITED,BSE_EQ
BCD_FO|1027811,679GS203426JUN103.25CE,679GS2034,BCD_FO
BCD_FO|1027812,679GS203426JUN103.25PE,679GS2034,BCD_FO
BCD_FO|1027813,679GS203426JUN103.5CE,679GS2034,BCD_FO
NCD_FO|14392,JPYINR26JUN62.25CE,JPYINR,NCD_FO
NCD_FO|14393,JPYINR26JUN62.25PE,JPYINR,NCD_FO
NCD_FO|14394,JPYINR26JUN62.5CE,JPYINR,NCD_FO
NCD_FO|14395,JPYINR26JUN62.5PE,JPYINR,NCD_FO
NCD_FO|14396,JPYINR26JUN62.75CE,JPYINR,NCD_FO
NCD_FO|14397,JPYINR26JUN62.75PE,JPYINR,NCD_FO
NSE_EQ|INE844K01012,BEDMUTHA,BEDMUTHA INDUST LTD,NSE_EQ
BSE_EQ|INE224A01026,GREAVESCOT,GREAVES COTTON LTD.,BSE_EQ
NCD_FO|14380,JPYINR26JUN60.75CE,JPYINR,NCD_FO
NCD_FO|14381,JPYINR26JUN60.75PE,JPYINR,NCD_FO
NCD_FO|14387,JPYINR26JUN61.5PE,JPYINR,NCD_FO
NCD_FO|14388,JPYINR26JUN61.75CE,JPYINR,NCD_FO
NCD_FO|14389,JPYINR26JUN61.75PE,JPYINR,NCD_FO
NCD_FO|14384,JPYINR26JUN61.25CE,JPYINR,NCD_FO
NCD_FO|14385,JPYINR26JUN61.25PE,JPYINR,NCD_FO
BSE_EQ|INE609A01010,PUNJCOMMU,PUNJAB COMMUNICATIONS LTD.,BSE_EQ
NCD_FO|14386,JPYINR26JUN61.5CE,JPYINR,NCD_FO
NSE_EQ|INE947Q01028,LAURUSLABS,LAURUS LABS LIMITED,NSE_EQ
NSE_EQ|INE03HW01020,VLEGOV,VL E GOV AND IT SOL LTD,NSE_EQ
NCD_FO|14370,JPYINR26JUN59.5CE,JPYINR,NCD_FO
NCD_FO|14371,JPYINR26JUN59.5PE,JPYINR,NCD_FO
NCD_FO|14376,JPYINR26JUN60.25CE,JPYINR,NCD_FO
NCD_FO|14377,JPYINR26JUN60.25PE,JPYINR,NCD_FO
NCD_FO|14378,JPYINR26JUN60.5CE,JPYINR,NCD_FO
NCD_FO|14379,JPYINR26JUN60.5PE,JPYINR,NCD_FO
NCD_FO|14372,JPYINR26JUN59.75CE,JPYINR,NCD_FO
NCD_FO|14373,JPYINR26JUN59.75PE,JPYINR,NCD_FO
BSE_EQ|INE736H01024,GSAUTO,G.S.AUTO INTERNATIONAL LTD.,BSE_EQ
BSE_EQ|INE215I01027,MAANALU,MAAN ALUMINIUM LTD.,BSE_EQ
BSE_EQ|INE503A01015,DCBBANK,DCB BANK LIMITED,BSE_EQ
NCD_FO|14360,JPYINR26JUN58.25CE,JPYINR,NCD_FO
NCD_FO|14365,JPYINR26JUN58.75PE,JPYINR,NCD_FO
NCD_FO|14368,JPYINR26JUN59.25CE,JPYINR,NCD_FO
NCD_FO|14361,JPYINR26JUN58.25PE,JPYINR,NCD_FO
NCD_FO|14362,JPYINR26JUN58.5CE,JPYINR,NCD_FO
NCD_FO|14363,JPYINR26JUN58.5PE,JPYINR,NCD_FO
NCD_FO|14364,JPYINR26JUN58.75CE,JPYINR,NCD_FO
NCD_FO|14369,JPYINR26JUN59.25PE,JPYINR,NCD_FO
NCD_FO|14354,JPYINR26JUN57.5CE,JPYINR,NCD_FO
NCD_FO|14355,JPYINR26JUN57.5PE,JPYINR,NCD_FO
NCD_FO|14356,JPYINR26JUN57.75CE,JPYINR,NCD_FO
NCD_FO|14357,JPYINR26JUN57.75PE,JPYINR,NCD_FO
NCD_FO|14352,JPYINR26JUN57.25CE,JPYINR,NCD_FO
NCD_FO|14353,JPYINR26JUN57.25PE,JPYINR,NCD_FO
BSE_EQ|INE266B01017,KINETICENG,KINETIC ENGINEERING LTD.,BSE_EQ
BCD_FO|1003833,USDINR25SEP88.8CE,USDINR,BCD_FO
BCD_FO|1027801,679GS203426JUN101.75CE,679GS2034,BCD_FO
BCD_FO|1027802,679GS203426JUN101.75PE,679GS2034,BCD_FO
BCD_FO|1003834,USDINR25SEP88.8PE,USDINR,BCD_FO
NCD_FO|14344,JPYINR26JUN56.25CE,JPYINR,NCD_FO
NCD_FO|14345,JPYINR26JUN56.25PE,JPYINR,NCD_FO
NCD_FO|14346,JPYINR26JUN56.5CE,JPYINR,NCD_FO
NCD_FO|14340,JPYINR26JUN55.75CE,JPYINR,NCD_FO
NCD_FO|14341,JPYINR26JUN55.75PE,JPYINR,NCD_FO
NCD_FO|14347,JPYINR26JUN56.5PE,JPYINR,NCD_FO
NCD_FO|14348,JPYINR26JUN56.75CE,JPYINR,NCD_FO
NCD_FO|14349,JPYINR26JUN56.75PE,JPYINR,NCD_FO
BSE_EQ|INE0UOS01011,SANOFICONR,Sanofi Consumer Healthcare Ind,BSE_EQ
NSE_FO|74823,ABCAPITAL25JUL237.5CE,ADITYA BIRLA CAPITAL LTD.,NSE_FO
NCD_FO|14332,JPYINR26JUN54.75CE,JPYINR,NCD_FO
NCD_FO|14333,JPYINR26JUN54.75PE,JPYINR,NCD_FO
NCD_FO|14330,JPYINR26JUN54.5CE,JPYINR,NCD_FO
NCD_FO|14331,JPYINR26JUN54.5PE,JPYINR,NCD_FO
NCD_FO|14336,JPYINR26JUN55.25CE,JPYINR,NCD_FO
NCD_FO|14337,JPYINR26JUN55.25PE,JPYINR,NCD_FO
NCD_FO|14338,JPYINR26JUN55.5CE,JPYINR,NCD_FO
NCD_FO|14339,JPYINR26JUN55.5PE,JPYINR,NCD_FO
BSE_EQ|INE0N1L01018,PACE,PACE E-COMMERCE VENTURES LIMIT,BSE_EQ
BSE_EQ|INE327G01032,SAYAJIIND,Sayaji Industries Limited,BSE_EQ
NSE_EQ|INE913H01037,ENDURANCE,ENDURANCE TECHNO. LTD.,NSE_EQ
NSE_FO|74839,ABCAPITAL25JUL262.5CE,ADITYA BIRLA CAPITAL LTD.,NSE_FO
NSE_FO|74836,ABCAPITAL25JUL257.5CE,ADITYA BIRLA CAPITAL LTD.,NSE_FO
NSE_FO|74837,ABCAPITAL25JUL257.5PE,ADITYA BIRLA CAPITAL LTD.,NSE_FO
NSE_FO|74834,ABCAPITAL25JUL252.5CE,ADITYA BIRLA CAPITAL LTD.,NSE_FO
NSE_FO|74835,ABCAPITAL25JUL252.5PE,ADITYA BIRLA CAPITAL LTD.,NSE_FO
NCD_FO|14321,JPYINR26JUN53.5PE,JPYINR,NCD_FO
NCD_FO|14322,JPYINR26JUN53.75CE,JPYINR,NCD_FO
NCD_FO|14323,JPYINR26JUN53.75PE,JPYINR,NCD_FO
NCD_FO|14320,JPYINR26JUN53.5CE,JPYINR,NCD_FO
NCD_FO|14329,JPYINR26JUN54.25PE,JPYINR,NCD_FO
NCD_FO|14328,JPYINR26JUN54.25CE,JPYINR,NCD_FO
NSE_EQ|INE490G01020,MOIL,MOIL LIMITED,NSE_EQ
BSE_EQ|INE385W01011,DCAL,Dishman Carbogen Amcis Limited,BSE_EQ
BSE_EQ|INE098F01031,AMRUTANJAN,AMRUTANJAN HEALTH CARE LTD.,BSE_EQ
BSE_EQ|INE415A01038,AGI,AGI GREENPAC LIMITED,BSE_EQ
NCD_FO|14318,JPYINR26JUN53.25CE,JPYINR,NCD_FO
NCD_FO|14319,JPYINR26JUN53.25PE,JPYINR,NCD_FO
BSE_EQ|INE0KCM01010,EKENNIS,Ekennis Software Service Limit,BSE_EQ
NSE_FO|74809,ABCAPITAL25JUL207.5PE,ADITYA BIRLA CAPITAL LTD.,NSE_FO
NSE_FO|74818,ABCAPITAL25JUL227.5CE,ADITYA BIRLA CAPITAL LTD.,NSE_FO
NSE_FO|74813,ABCAPITAL25JUL217.5PE,ADITYA BIRLA CAPITAL LTD.,NSE_FO
NSE_FO|74811,ABCAPITAL25JUL212.5PE,ADITYA BIRLA CAPITAL LTD.,NSE_FO
BSE_EQ|INE216I01017,NEOINFRA,NEO INFRACON LTD.,BSE_EQ
BSE_EQ|INE011D01013,SHERVANI,SHERVANI INDUSTRIAL SYNDICATE,BSE_EQ
NSE_EQ|INE918I01026,BAJAJFINSV,BAJAJ FINSERV LTD.,NSE_EQ
BSE_EQ|INE861H01020,NITINCAST,Nitin Castings Limited,BSE_EQ
BSE_EQ|INE0BS701011,PREMIERENE,Premier Energies Limited,BSE_EQ
BSE_EQ|INE540A01017,GLFL,GUJARAT LEASE FINANCING LTD.,BSE_EQ
BSE_EQ|INE0JPD01013,SANATHAN,Sanathan Textiles Limited,BSE_EQ
BSE_EQ|INE662D01013,WELTI,WELTERMAN INTERNATIONAL LTD.,BSE_EQ
BSE_EQ|INE497B01018,SEAMECLTD,SEAMEC LTD.,BSE_EQ
NSE_EQ|INE360L01017,FMNL,FUTURE MKT NETWORKS LTD,NSE_EQ
BSE_EQ|INE122N01017,JUMBFNL,JUMBO FINANCE LTD.,BSE_EQ
BSE_EQ|INE010J01012,TEJASNET,Tejas Networks Limited,BSE_EQ
NSE_EQ|INE977Y01011,BCONCEPTS,BRAND CONCEPTS LIMITED,NSE_EQ
NSE_EQ|INE933X01016,SHANTI,SHANTI OVERSEAS INDIA LTD,NSE_EQ
NSE_EQ|INE0N7S01010,MOS,MOS UTILITY LIMITED,NSE_EQ
NSE_EQ|INE00C501018,AMBANIORGO,AMBANI ORGOCHEM LIMITED,NSE_EQ
BSE_EQ|INE03DD01011,RETAIL,JHS SVENDGAARD RETAIL VENTURES,BSE_EQ
BSE_EQ|INE056E01024,INDXTRA,IEL LIMITED,BSE_EQ
NSE_EQ|INE758E01017,JIOFIN,JIO FIN SERVICES LTD,NSE_EQ
NSE_FO|74843,ABCAPITAL25JUL272.5CE,ADITYA BIRLA CAPITAL LTD.,NSE_FO
NSE_FO|74844,ABCAPITAL25JUL272.5PE,ADITYA BIRLA CAPITAL LTD.,NSE_FO
NSE_FO|74841,ABCAPITAL25JUL267.5CE,ADITYA BIRLA CAPITAL LTD.,NSE_FO
NSE_FO|74842,ABCAPITAL25JUL267.5PE,ADITYA BIRLA CAPITAL LTD.,NSE_FO
NSE_FO|74840,ABCAPITAL25JUL262.5PE,ADITYA BIRLA CAPITAL LTD.,NSE_FO
BSE_EQ|INE274Y01021,AJAXENGG,AJAX Engineering Limited,BSE_EQ
NSE_EQ|INE522D01027,MANAPPURAM,MANAPPURAM FINANCE LTD,NSE_EQ
NSE_EQ|INE089A01031,DRREDDY,DR. REDDY S LABORATORIES,NSE_EQ
NSE_INDEX|NIFTY200 QUALTY30,NIFTY200 QUALTY30,NIFTY200 QUALTY30,NSE_INDEX
NSE_EQ|INE839G01010,JOCIL,JOCIL LIMITED,NSE_EQ
NSE_EQ|INE456Z01021,MEDIASSIST,MEDI ASSIST HEALTH SER L,NSE_EQ
NSE_EQ|INE0LQG01010,APRAMEYA,APRAMEYA ENGINEERING LTD,NSE_EQ
NSE_EQ|INE017W01010,SMLT,SARTHAK METALS LIMITED,NSE_EQ
NSE_EQ|INE250B01029,VINYLINDIA,VINYL CHEMICALS (I) LTD.,NSE_EQ
NSE_EQ|INE955I01044,SEJALLTD,SEJAL GLASS LIMITED,NSE_EQ
BSE_EQ|INE577D01013,JYOTIRES,JYOTI RESINS & ADHESIVES LTD.,BSE_EQ
NSE_EQ|INE485C01029,IOLCP,IOL CHEM AND PHARMA LTD,NSE_EQ
BSE_EQ|INE576D01015,UNJHAFOR,UNJHA FORMULATIONS LTD.,BSE_EQ
NSE_EQ|INE927A01040,ROLLT,ROLLATAINERS LIMITED,NSE_EQ
NSE_EQ|INE771A01026,MIRZAINT,MIRZA INTERNATIONAL LIMIT,NSE_EQ
BSE_EQ|INE349W01017,AVADHSUGAR,AVADH SUGAR & ENERGY LIMITED,BSE_EQ
NCD_FO|14050,USDINR2590486.625CE,USDINR,NCD_FO
NCD_FO|14051,USDINR2590486.625PE,USDINR,NCD_FO
NCD_FO|14052,USDINR2590486.75CE,USDINR,NCD_FO
NCD_FO|14058,USDINR2590487.125CE,USDINR,NCD_FO
NCD_FO|14059,USDINR2590487.125PE,USDINR,NCD_FO
NCD_FO|14053,USDINR2590486.75PE,USDINR,NCD_FO
NCD_FO|14054,USDINR2590486.875CE,USDINR,NCD_FO
NCD_FO|14055,USDINR2590486.875PE,USDINR,NCD_FO
NCD_FO|14040,JPYINR25DEC56.25PE,JPYINR,NCD_FO
NCD_FO|14041,JPYINR25DEC56.5CE,JPYINR,NCD_FO
BSE_EQ|INE854D01024,UNITDSPR,UNITED SPIRITS LTD.,BSE_EQ
NCD_FO|14046,USDINR2590486.375CE,USDINR,NCD_FO
NCD_FO|14047,USDINR2590486.375PE,USDINR,NCD_FO
BSE_EQ|INE268B01013,KREBSBIO,KREBS BIOCHEMICALS & INDUSTRIE,BSE_EQ
NCD_FO|14048,USDINR2590486.5CE,USDINR,NCD_FO
NCD_FO|14049,USDINR2590486.5PE,USDINR,NCD_FO
NCD_FO|14042,JPYINR25DEC56.5PE,JPYINR,NCD_FO
NCD_FO|14043,JPYINR25DEC56.75CE,JPYINR,NCD_FO
NCD_FO|14044,USDINR2590486.25CE,USDINR,NCD_FO
NSE_EQ|INF680P01422,LIQUIDSHRI,SHRIRAM - LIQUIDSHRI,NSE_EQ
NCD_FO|14045,USDINR2590486.25PE,USDINR,NCD_FO
NCD_FO|14030,USDINR2590485.25CE,USDINR,NCD_FO
NCD_FO|14035,USDINR2590485.75PE,USDINR,NCD_FO
NCD_FO|14038,USDINR2590486.125CE,USDINR,NCD_FO
NCD_FO|14031,USDINR2590485.25PE,USDINR,NCD_FO
NCD_FO|14032,USDINR2590485.5CE,USDINR,NCD_FO
NCD_FO|14033,USDINR2590485.5PE,USDINR,NCD_FO
NCD_FO|14034,USDINR2590485.75CE,USDINR,NCD_FO
NCD_FO|14039,USDINR2590486.125PE,USDINR,NCD_FO
NSE_EQ|INE251B01027,ZENTEC,ZEN TECHNOLOGIES LIMITED,NSE_EQ
NSE_EQ|INE660C01027,CENTRUM,CENTRUM CAPITAL LIMITED,NSE_EQ
NCD_FO|14024,USDINR2590484.5CE,USDINR,NCD_FO
NCD_FO|14025,USDINR2590484.5PE,USDINR,NCD_FO
NCD_FO|14026,USDINR2590484.75CE,USDINR,NCD_FO
NCD_FO|14027,USDINR2590484.75PE,USDINR,NCD_FO
NCD_FO|14022,USDINR2590484.25CE,USDINR,NCD_FO
NCD_FO|14023,USDINR2590484.25PE,USDINR,NCD_FO
BSE_EQ|INE826B01018,INDTONER,INDIAN TONERS & DEVELOPERS LTD,BSE_EQ
NSE_EQ|INE138A01028,PENINLAND,PENINSULA LAND LIMITED,NSE_EQ
BSE_EQ|INE450G01024,VIPCLOTHNG,VIP Clothing Limited,BSE_EQ
NCD_FO|14013,USDINR2590483.5PE,USDINR,NCD_FO
NCD_FO|14014,USDINR2590483.75CE,USDINR,NCD_FO
NCD_FO|14015,USDINR2590483.75PE,USDINR,NCD_FO
NCD_FO|14012,USDINR2590483.5CE,USDINR,NCD_FO
BSE_EQ|INE979A01025,SAREGAMA,SAREGAMA INDIA LTD.,BSE_EQ
NCD_FO|14002,USDINR2590482.5CE,USDINR,NCD_FO
NCD_FO|14003,USDINR2590482.5PE,USDINR,NCD_FO
NCD_FO|14004,USDINR2590482.75CE,USDINR,NCD_FO
NCD_FO|14005,USDINR2590482.75PE,USDINR,NCD_FO
BSE_EQ|INE919C01019,JETKINGQ,JETKING INFOTRAIN LTD.,BSE_EQ
NCD_FO|14000,GBPINR25SEP101.25CE,GBPINR,NCD_FO
NCD_FO|14001,GBPINR25SEP101.25PE,GBPINR,NCD_FO
BSE_EQ|INE0R6Z01013,SRM,SRM CONTRACTORS LIMITED,BSE_EQ
NCD_FO|14008,USDINR2590483.25CE,USDINR,NCD_FO
NCD_FO|14009,USDINR2590483.25PE,USDINR,NCD_FO
BSE_EQ|INE0S4R01014,CRIZAC,CRIZAC LIMITED,BSE_EQ
BSE_EQ|INE928H01019,HARYNACAP,HARYANA CAPFIN LTD.,BSE_EQ
BSE_EQ|INE753K01015,EMMBI,EMMBI INDUSTRIES LTD,BSE_EQ
BSE_EQ|INE162B01018,LUMAXIND,LUMAX INDUSTRIES LTD.,BSE_EQ
NSE_EQ|INE991I01015,ASPINWALL,ASPINWALL & CO LTD,NSE_EQ
