instrument_key,tradingsymbol,name,exchange
BCD_FO|2147810,GBPINR25718108.25CE,GBPINR,BCD_FO
NCD_FO|1590,GBPINR26JUN110.5PE,GBPINR,NCD_FO
BCD_FO|2147806,USDINR2571881.25CE,USDINR,BCD_FO
BCD_FO|2147805,JPYINR2571863.75PE,JPYINR,BCD_FO
NCD_FO|1583,GBPINR25919110.5PE,GBPINR,NCD_FO
NCD_FO|1585,EURINR2591995.5PE,EURINR,NCD_FO
NCD_FO|1588,EURINR2591995.75PE,EURINR,NCD_FO
NCD_FO|1587,EURINR2591995.75CE,EURINR,NCD_FO
NCD_FO|1589,GBPINR26JUN110.5CE,GBPINR,NCD_FO
BCD_FO|1002410,723GS203925DEC101.25CE,723GS2039,BCD_FO
BSE_EQ|INE296D01010,NOL,NATIONAL OXYGEN LTD.,BSE_EQ
BCD_FO|1002411,723GS203925DEC101.25PE,723GS2039,BCD_FO
BCD_FO|1002416,723GS203925DEC103.25CE,723GS2039,BCD_FO
BCD_FO|1002418,723GS203925DEC103.5CE,723GS2039,BCD_FO
BCD_FO|1002417,723GS203925DEC103.25PE,723GS2039,BCD_FO
BCD_FO|1002419,723GS203925DEC103.5PE,723GS2039,BCD_FO
NSE_EQ|INE019J01013,SASTASUNDR,SASTASUNDAR VENTURES LTD,NSE_EQ
BSE_EQ|INE088F01024,PARADEEP,Paradeep Phosphates Limited,BSE_EQ
NCD_FO|1551,EURINR2581497.5PE,EURINR,NCD_FO
NCD_FO|1553,EURINR2572589.25PE,EURINR,NCD_FO
NCD_FO|1552,EURINR2581497.75CE,EURINR,NCD_FO
NCD_FO|1555,EURINR2581497.75PE,EURINR,NCD_FO
NCD_FO|1554,EURINR26MAR105.5CE,EURINR,NCD_FO
NCD_FO|1557,EURINR26MAR105.5PE,EURINR,NCD_FO
BCD_FO|1002421,723GS203925DEC103.75PE,723GS2039,BCD_FO
NCD_FO|1559,EURINR25JUL92.25PE,EURINR,NCD_FO
BCD_FO|1002420,723GS203925DEC103.75CE,723GS2039,BCD_FO
BCD_FO|1002425,723GS203925DEC104.25PE,723GS2039,BCD_FO
BCD_FO|1002424,723GS203925DEC104.25CE,723GS2039,BCD_FO
NSE_INDEX|Nifty100 Enh ESG,NIFTY100 ENH ESG,Nifty100 Enh ESG,NSE_INDEX
BCD_FO|1002427,723GS203925DEC104.5PE,723GS2039,BCD_FO
BCD_FO|1002426,723GS203925DEC104.5CE,723GS2039,BCD_FO
BCD_FO|1002429,723GS203925DEC104.75PE,723GS2039,BCD_FO
BCD_FO|1002428,723GS203925DEC104.75CE,723GS2039,BCD_FO
